OBS,Path,BaseTable,DataTablePath,f.Name,prompttext,ft.Name,DataType,mmria_path,value1,value2,mmria_value,MMRIA Group Name,Comments
1643,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LT- Lesotho,LT,LT- Lesotho,,
1644,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LI- Liberia,LI,LI- Liberia,,
1645,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LY- Libya,LY,LY- Libya,,
1646,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LS- Liechtenstein,LS,LS- Liechtenstein,,
1647,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LH- Lithuania,LH,LH- Lithuania,,
1648,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LU- Luxembourg,LU,LU- Luxembourg,,
1649,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MA- Madagascar,MA,MA- Madagascar,,
1650,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MI- Malawi,MI,MI- Malawi,,
1651,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MY- Malaysia,MY,MY- Malaysia,,
1652,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MV- Maldives,MV,MV- Maldives,,
1653,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,ML- Mali,ML,ML- Mali,,
1654,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MT- Malta,MT,MT- Malta,,
1655,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RM- Marshall Is.,RM,RM- Marshall Is.,,
1656,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MB- Martinique,MB,MB- Martinique,,
1657,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MR- Mauritania,MR,MR- Mauritania,,
1658,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MP- Mauritius,MP,MP- Mauritius,,
1659,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MF- Mayotte,MF,MF- Mayotte,,
1660,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MX- Mexico,MX,MX- Mexico,,
1661,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,FM- Micronesia,FM,FM- Micronesia,,
1662,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MQ- Midway Is.,MQ,MQ- Midway Is.,,
1663,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MD- Moldova,MD,MD- Moldova,,
1664,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MN- Monaco,MN,MN- Monaco,,
1665,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MG- Mongolia,MG,MG- Mongolia,,
1666,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MH- Montserrat,MH,MH- Montserrat,,
1667,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MO- Morocco,MO,MO- Morocco,,
1668,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MZ- Mozambique,MZ,MZ- Mozambique,,
1669,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,WA- Namibia,WA,WA- Namibia,,
1670,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NR- Nauru,NR,NR- Nauru,,
1671,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NP- Nepal,NP,NP- Nepal,,
1672,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NL- Netherlands,NL,NL- Netherlands,,
1673,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NT- Netherlands Antilles,NT,NT- Netherlands Antilles,,
1674,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NC- New Caledonia,NC,NC- New Caledonia,,
1675,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NZ- New Zealand,NZ,NZ- New Zealand,,
1676,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NU- Nicaragua,NU,NU- Nicaragua,,
1677,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NG- Niger,NG,NG- Niger,,
1678,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NI- Nigeria,NI,NI- Nigeria,,
1679,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NE- Niue,NE,NE- Niue,,
1680,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NF- Norfolk I.,NF,NF- Norfolk I.,,
1681,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,CQ- Northern Mariana Is.,CQ,CQ- Northern Mariana Is.,,
1682,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NO- Norway,NO,NO- Norway,,
1683,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MU- Oman,MU,MU- Oman,,
1684,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PK- Pakistan,PK,PK- Pakistan,,
1685,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PS- Palau,PS,PS- Palau,,
1686,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PM- Panama,PM,PM- Panama,,
1687,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PP- Papua New Guinea,PP,PP- Papua New Guinea,,
1688,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PA- Paraguay,PA,PA- Paraguay,,
1689,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PE- Peru,PE,PE- Peru,,
1690,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RP- Philippines,RP,RP- Philippines,,
1691,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PC- Pitcairn Is.,PC,PC- Pitcairn Is.,,
1692,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PL- Poland,PL,PL- Poland,,
1693,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,PO- Portugal,PO,PO- Portugal,,
1694,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RQ- Puerto Rico,RQ,RQ- Puerto Rico,,
1695,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,QA- Qatar,QA,QA- Qatar,,
1696,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,KS- South Korea,KS,KS- South Korea,,
1697,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MJ- Montenegro,MJ,MJ- Montenegro,,
1698,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RB- Serbia,RB,RB- Serbia,,
1699,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RE- Reunion,RE,RE- Reunion,,
1700,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RO- Romania,RO,RO- Romania,,
1701,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RS- Russia,RS,RS- Russia,,
1702,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,RW- Rwanda,RW,RW- Rwanda,,
1703,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SH- St. Helena,SH,SH- St. Helena,,
1704,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SC- St. Kitts & Nevis,SC,SC- St. Kitts & Nevis,,
1705,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,ST- St. Lucia,ST,ST- St. Lucia,,
1706,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SB- St. Pierre & Miquelon,SB,SB- St. Pierre & Miquelon,,
1707,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,VC- St. Vincent & the Grenadines,VC,VC- St. Vincent & the Grenadines,,
1708,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,WS- Samoa,WS,WS- Samoa,,
1709,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SM- San Marino,SM,SM- San Marino,,
1710,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TP- Sao Tome & Principe,TP,TP- Sao Tome & Principe,,
1711,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SA- Saudi Arabia,SA,SA- Saudi Arabia,,
1712,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SG- Senegal,SG,SG- Senegal,,
1713,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SE- Seychelles,SE,SE- Seychelles,,
1714,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SL- Sierra Leone,SL,SL- Sierra Leone,,
1715,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SN- Singapore,SN,SN- Singapore,,
1716,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,LO- Slovakia,LO,LO- Slovakia,,
1717,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SI- Slovenia,SI,SI- Slovenia,,
1718,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,BP- Solomon Is.,BP,BP- Solomon Is.,,
1719,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SO- Somalia,SO,SO- Somalia,,
1720,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SF- South Africa,SF,SF- South Africa,,
1721,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SX- South Georgia & the South Sandwich Is.,SX,SX- South Georgia & the South Sandwich Is.,,
1722,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SP- Spain,SP,SP- Spain,,
1723,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,CE- Sri Lanka,CE,CE- Sri Lanka,,
1724,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SU- Sudan,SU,SU- Sudan,,
1725,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,NS- Suriname,NS,NS- Suriname,,
1726,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,JN- Jan Mayen,JN,JN- Jan Mayen,,
1727,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SV- Svalbard,SV,SV- Svalbard,,
1728,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,WZ- Swaziland,WZ,WZ- Swaziland,,
1729,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SW- Sweden,SW,SW- Sweden,,
1730,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SZ- Switzerland,SZ,SZ- Switzerland,,
1731,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,SY- Syria,SY,SY- Syria,,
1732,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TI- Tajikistan,TI,TI- Tajikistan,,
1733,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TH- Thailand,TH,TH- Thailand,,
1734,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,MK- Macedonia,MK,MK- Macedonia,,
1735,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TT- Timor-Leste,TT,TT- Timor-Leste,,
1736,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TO- Togo,TO,TO- Togo,,
1737,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TL- Tokelau,TL,TL- Tokelau,,
1738,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TN- Tonga,TN,TN- Tonga,,
1739,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TD- Trinidad & Tobago,TD,TD- Trinidad & Tobago,,
1740,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TS- Tunisia,TS,TS- Tunisia,,
1741,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TU- Turkey,TU,TU- Turkey,,
1742,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TX- Turkmenistan,TX,TX- Turkmenistan,,
1743,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TK- Turks & Caicos Is.,TK,TK- Turks & Caicos Is.,,
1744,MaternalBirthCertificate6.BC_BCountry,MaternalBirthCertificate,MaternalBirthCertificate6,BC_BCountry,Country (if foreign born)*,Comment Legal,Unknown,birth_fetal_death_certificate_parent/demographic_of_mother/country_of_birth,TV- Tuvalu,TV,TV- Tuvalu,,
